Gene symbol,Gene name,Hour(s) with a significant caste difference:,logFC at 2h,logFC at 4h,logFC at 6h,logFC at 8h
LOC409739,motile sperm domain-containing protein 2,"6, 8",-0.12,-0.29,-0.46,-0.44
LOC113218668,uncharacterized LOC113218668,8,-0.2,0.37,0.15,0.98
LOC409904,uncharacterized LOC409904,"4, 8",0.12,0.59,0.14,0.46
LOC408534,trypsin,8,0.04,0.26,0.43,0.58
LOC102656896,uncharacterized LOC102656896,6,-0.56,-0.22,-0.75,0.22
LOC551771,methionine aminopeptidase 2,"4, 8",0.12,0.45,0.33,0.41
LOC725665,5-oxoprolinase,8,-0.14,0.28,0.42,0.75
LOC107965557,uncharacterized LOC107965557,6,-0.29,-0.39,-0.53,-0.09
LOC408420,RING finger protein nhl-1,8,0.14,0.21,0.41,0.55
LOC551523,adenylate kinase,"4, 6, 8",-0.05,-0.48,-0.38,-0.4
LOC102653764,waprin-Thr1,8,-0.54,0.35,0.3,1.19
LOC100577030,QRFP-like peptide receptor,8,0.08,-0.04,0.41,0.85
LOC100579026,uncharacterized LOC100579026,"6, 8",-0.22,0.35,0.53,0.64
LOC102656308,uncharacterized LOC102656308,6,-0.05,0.46,1.04,-0.15
LOC100578746,aprataxin and PNK-like factor,6,-0.16,-0.24,-0.61,-0.3
LOC410043,ornithine decarboxylase,"4, 6, 8",0.13,-0.52,-0.49,-0.42
LOC725013,sister chromatid cohesion protein DCC1,8,-0.17,-0.26,-0.18,-0.68
LOC408500,endothelin-converting enzyme homolog,"6, 8",0.12,0.14,0.51,0.53
LOC552566,1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,8,0.11,-0.46,-0.23,-0.71
LOC408770,protein turtle,4,0.08,0.73,0.04,0.44
LOC725216,DNA-directed RNA polymerase I subunit RPA1,8,-0.08,-0.46,-0.25,-0.5
LOC412878,DNA N6-methyl adenine demethylase,4,0.12,0.8,0.23,0.14
LOC411347,peripheral plasma membrane protein CASK,4,0.06,0.63,0.34,0.26
LOC725798,protein aurora borealis,8,-0.14,-0.27,-0.28,-0.6
LOC100578801,uncharacterized LOC100578801,6,-0.42,-0.26,-0.61,0
LOC412580,protein arginine N-methyltransferase 3,8,0.15,-0.48,-0.21,-0.75
LOC724786,zinc finger HIT domain-containing protein 3,6,-0.31,-0.32,-0.43,-0.24
LOC551301,solute carrier family 25 member 40,"4, 6, 8",-0.18,-0.37,-0.46,-0.28
LOC107963983,pre-rRNA processing protein FTSJ3,8,-0.03,-0.5,-0.24,-0.51
Reck,reversion-inducing-cysteine-rich protein with kazal motifs,8,0.12,0.3,0.21,0.66
LOC413343,nucleoporin Nup37,"6, 8",-0.15,-0.26,-0.48,-0.4
LOC552490,uncharacterized LOC552490,6,0.31,0.27,1.2,-0.49
LOC726551,DNA ligase 4,8,0,-0.28,-0.41,-0.6
LOC413768,"2-oxoglutarate dehydrogenase, mitochondrial","6, 8",-0.13,-0.3,-0.44,-0.41
LOC551426,uncharacterized LOC551426,6,-0.29,-0.32,-0.45,-0.22
LOC412460,putative cystathionine gamma-lyase 2,"4, 6, 8",0.01,-0.42,-0.33,-0.53
LOC413720,nucleolar protein 14 homolog,8,-0.03,-0.42,-0.3,-0.54
LOC100578726,protein kinase 4,8,-0.21,-0.31,-0.28,-0.48
LOC412480,ribosomal RNA processing protein 1 homolog,8,-0.2,-0.29,-0.33,-0.46
LOC410423,uncharacterized LOC410423,4,0.16,0.62,0.39,0.11
LOC551591,carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1,"6, 8",0.1,0.33,0.4,0.45
LOC410561,ciliogenesis and planar polarity effector 2,6,-0.28,-0.24,-0.55,-0.2
LOC413727,probable ATP-dependent RNA helicase pitchoune,8,0.03,-0.39,-0.36,-0.56
LOC725432,60S ribosomal protein L37a,8,-0.03,0.36,0.3,0.64
LOC725047,nucleolin 1,8,-0.02,-0.32,-0.23,-0.7
LOC724329,dnaJ homolog subfamily C member 24,"6, 8",-0.13,-0.3,-0.41,-0.43
LOC100576435,shootin-1,"6, 8",0.06,0.35,0.43,0.43
LOC725926,collagen alpha-1(IV) chain,8,0.05,0.25,0.35,0.63
LOC411724,"glycerol-3-phosphate acyltransferase 1, mitochondrial",6,0.4,0.06,0.6,0.21
LOC113219322,uncharacterized LOC113219322,8,0.31,0.21,0.06,0.7
LOC552260,U6 snRNA-associated Sm-like protein LSm1,"4, 6, 8",-0.07,-0.37,-0.46,-0.37
LOC726838,"probable malate dehydrogenase, mitochondrial",8,-0.02,0.11,0.5,0.68
LOC107965452,uncharacterized LOC107965452,8,0.14,0.02,0.04,1.07
otd2,homeotic protein ocelliless,8,0.04,0.3,0.32,0.62
LOC410690,haloacid dehalogenase-like hydrolase domain-containing 5,8,0.07,-0.42,-0.28,-0.64
LOC724971,uncharacterized LOC724971,"6, 8",0.16,0.34,0.45,0.31
LOC411452,band 4.1-like protein 4A,8,0.02,0.4,0.1,0.74
LOC551724,S-adenosylmethionine decarboxylase proenzyme,"4, 6",-0,-0.56,-0.49,-0.21
LOC107965415,uncharacterized LOC107965415,8,0.15,0.27,0.14,0.71
LOC410940,DNA topoisomerase 2-binding protein 1,8,-0.02,-0.3,-0.36,-0.58
LOC724157,uncharacterized LOC724157,8,-0.32,-0.27,-0.24,-0.43
LOC413012,EH domain-containing protein 3,6,0.32,0.29,0.53,0.12
LOC100578413,uncharacterized LOC100578413,"6, 8",0.07,-0,0.63,0.56
LOC410672,smad nuclear interacting protein 1,"4, 6, 8",-0.13,-0.4,-0.35,-0.39
LOC102655120,hepatocyte nuclear factor 4-gamma,6,0.23,0.41,0.43,0.18
LOC726854,serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like,8,-0.05,0.24,0.26,0.81
LOC102654870,uncharacterized LOC102654870,8,0.03,0.31,0.32,0.61
LOC408291,"3-ketoacyl-CoA thiolase, mitochondrial","6, 8",-0.01,0.26,0.31,0.7
LOC727622,"probable aspartate aminotransferase, cytoplasmic",8,0.11,-0.44,-0.22,-0.71
LOC412521,m7GpppN-mRNA hydrolase,8,-0.17,-0.3,-0.3,-0.48
LOC726497,autophagy-related protein 2 homolog B,6,0.18,0.23,0.56,0.29
LOC552434,CCR4-NOT transcription complex subunit 11,"4, 6, 8",0,-0.49,-0.35,-0.42
LOC726458,ETS-like protein pointed,8,-0.12,0.25,0.39,0.73
LOC102654948,uncharacterized LOC102654948,8,-0.37,0.41,0.36,0.85
LOC413233,"methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial","6, 8",-0.03,0.38,0.52,0.39
LOC726129,UPF0547 protein C16orf87,8,-0.13,-0.27,-0.39,-0.46
LOC412503,mitochondrial dicarboxylate carrier,8,0.27,-0.56,-0.38,-0.58
LOC408897,nuclear receptor coactivator 6,"4, 8",0.17,0.41,0.32,0.35
LOC100577520,uncharacterized protein C19orf47 homolog,8,-0.14,-0.36,-0.17,-0.58
LOC727596,malectin,"4, 6, 8",0.03,-0.33,-0.49,-0.46
LOC724679,uncharacterized LOC724679,8,-0.41,0.3,-0.32,-0.82
LOC100576139,uncharacterized LOC100576139,8,0.08,0.27,0.27,0.63
LOC551663,disintegrin and metalloproteinase domain-containing protein 11,8,0.04,0.39,0.35,0.48
LOC725867,translin-associated protein X,"4, 6, 8",-0.26,-0.28,-0.4,-0.31
LOC725941,zinc finger protein 800,8,0.06,-0.45,-0.22,-0.65
LOC411893,"cytochrome P450 315a1, mitochondrial",8,-0.22,-0.25,-0.36,-0.42
LOC724247,"rRNA methyltransferase 3, mitochondrial",8,-0.22,-0.26,-0.36,-0.41
LOC100577501,nuclear pore membrane glycoprotein 210,8,0.05,-0.32,-0.27,-0.7
LOC410447,importin subunit beta-1,"6, 8",0.11,-0.28,-0.65,-0.43
LOC727128,60S ribosomal protein L34,8,0.02,0.35,0.3,0.58
LOC551659,serine/threonine-protein kinase STE20,8,0.33,-0.5,-0.07,-1.01
LOC100577766,uncharacterized LOC100577766,8,-0,-0.27,-0.24,-0.73
LOC100379261,uncharacterized LOC100379261,"6, 8",0.31,0.2,0.38,0.36
LOC552491,NADPH-dependent diflavin oxidoreductase 1,8,0,-0.39,-0.33,-0.53
LOC412751,solute carrier family 35 member F5,8,0.01,-0.28,-0.26,-0.72
LOC552206,putative ATP-dependent RNA helicase me31b,8,0.19,-0.38,-0.19,-0.87
LOC726279,M-phase phosphoprotein 6,6,-0.26,-0.21,-0.53,-0.24
LOC412243,protein split ends,4,0.31,0.53,0.24,0.15
LOC726018,replication factor C subunit 4-like,6,-0.15,-0.25,-0.62,-0.22
LOC410394,DCN1-like protein 5,8,0.15,-0.4,-0.27,-0.71
LOC409487,probable glutamine-dependent NAD(+) synthetase,"4, 6, 8",0.16,0.33,0.38,0.37
LOC408942,receptor expression-enhancing protein 2,8,0.24,0.23,0.33,0.44
LOC107965599,uncharacterized LOC107965599,8,-0,0.46,0.25,0.53
LOC551224,aminopeptidase N,8,0.17,0.32,0.22,0.53
LOC412072,DNA replication complex GINS protein PSF1,6,-0.34,-0.3,-0.57,-0.03
LOC550827,tubulin alpha-1 chain,6,-0.11,-0.2,-0.6,-0.32
LOC100576699,uncharacterized LOC100576699,6,-0.44,0.12,-0.55,-0.36
LOC409165,calreticulin,"6, 8",-0.02,-0.23,-0.36,-0.62
LOC727007,alpha-tocopherol transfer protein,8,-0.06,0.35,0.36,0.58
LOC411845,p21-activated protein kinase-interacting protein 1-like,8,0.02,-0.5,-0.26,-0.49
LOC412578,mediator of RNA polymerase II transcription subunit 21,"6, 8",-0.21,-0.26,-0.46,-0.3
LOC412150,endoplasmin,"6, 8",0.04,-0.18,-0.43,-0.67
LOC724642,F-box/LRR-repeat protein 3,"4, 6",-0.36,-0.53,-0.46,0.11
LOC551101,phenylalanine--tRNA ligase beta subunit,"6, 8",-0.15,-0.26,-0.39,-0.43
LOC551121,dipeptidase 1,"4, 8",-0.15,0.5,0.34,0.54
LOC551763,hypoxia up-regulated protein 1,8,0.03,-0.24,-0.27,-0.75
LOC100577156,chitinase-3-like protein 1,8,-0.26,0.38,0.05,1.07
LOC100578484,uncharacterized LOC100578484,6,-0.18,-0.34,-0.53,-0.18
LOC411217,protein PFF0380w,8,0.19,-0.38,-0.32,-0.71
LOC726085,probable prefoldin subunit 2,6,-0.27,-0.31,-0.37,-0.28
LOC413892,ankyrin repeat domain-containing protein 65,8,0.18,0.3,0.06,0.69
LOC551034,ADP-ribosylation factor-like protein 5B,8,0.09,-0.44,-0.25,-0.63
LOC412985,guanine nucleotide-binding protein-like 1,8,-0.12,-0.41,-0.16,-0.54
LOC552032,uncharacterized protein C1orf198 homolog,8,-0.13,-0.37,-0.33,-0.4
LOC725536,Sjoegren syndrome nuclear autoantigen 1 homolog,6,-0.09,-0.38,-0.55,-0.2
LOC494509,malvolio,"6, 8",0.01,0.03,0.49,0.69
LOC107964438,uncharacterized LOC107964438,"4, 6",-0.12,0.53,0.48,0.34
LOC409643,failed axon connections,"6, 8",0.05,-0.14,-0.45,-0.68
LOC724506,HEAT repeat-containing protein 3,8,-0.15,-0.36,-0.31,-0.39
LOC113219060,uncharacterized LOC113219060,8,0.25,0.41,0.01,0.54
LOC409572,TWiK family of potassium channels protein 9,8,-0.12,0.38,0.3,0.66
LOC100576717,restin homolog,8,0.24,-0.48,-0.07,-0.9
LOC409979,DNA replication licensing factor Mcm7,"6, 8",-0.11,-0.19,-0.46,-0.46
LOC408427,piezo-type mechanosensitive ion channel component,6,0.24,0.37,0.47,0.14
LOC413718,probable glutamine--tRNA ligase,8,-0.21,-0.25,-0.25,-0.51
LOC408634,major facilitator superfamily domain-containing protein 1,8,0.22,0.33,0.3,0.36
LOC551374,uncharacterized protein PF11_0213,8,0.04,-0.32,-0.16,-0.78
LOC408527,pre-mRNA-splicing factor SPF27,6,-0.26,-0.2,-0.44,-0.31
LOC726375,bone morphogenetic protein 2-B,8,0.2,0.31,0.26,0.44
LOC410637,nuclear receptor coactivator 3,6,0.47,0.38,0.5,-0.14
LOC551329,ATPase family AAA domain-containing protein 3A homolog,8,-0.07,-0.3,-0.35,-0.49
Hbg3,alpha-glucosidase,8,0.05,0.28,0.02,0.87
LOC724715,lisH domain-containing protein FOPNL,6,-0.44,-0.16,-0.46,-0.15
LOC727223,uncharacterized LOC727223,"4, 6, 8",0.22,0.29,0.39,0.31
LOC413557,syndecan,6,0.32,0.4,0.45,0.04
LOC724678,histone H2A,8,0.03,0.37,0.27,0.54
LOC410662,lachesin,"4, 8",-0.07,0.55,0.13,0.59
LOC409027,leucine-rich repeat and calponin homology domain-containing protein 1,8,0.12,0.45,0.09,0.55
LOC412287,peptidyl-prolyl cis-trans isomerase FKBP4,"6, 8",-0.1,-0.14,-0.43,-0.54
LOC102656618,uncharacterized LOC102656618,8,0.05,0.39,0.25,0.52
LOC102653614,probable RNA methyltransferase CG11342,8,-0.01,0.39,0.39,0.43
LOC410347,protein big brother,8,0.04,0.37,0.21,0.59
LOC412262,protein Hook homolog 3,8,-0.19,-0.3,-0.3,-0.41
LOC412357,GA-binding protein subunit beta-1,8,-0.07,-0.32,-0.19,-0.63
LOC726331,alpha-2A adrenergic receptor,8,0.18,0.35,0.22,0.46
LOC552214,nucleolar protein 16,6,-0.27,-0.27,-0.43,-0.23
LOC726086,gem-associated protein 8,6,-0.3,-0.16,-0.51,-0.24
LOC100576497,uncharacterized LOC100576497,8,0.13,0.2,0.16,0.7
LOC410296,"b(0,+)-type amino acid transporter 1","4, 8",0.16,-0.49,-0.37,-0.51
LOC100576894,"keratin, type II cytoskeletal 74",6,0.14,0.39,0.56,0.11
LOC412399,organic cation transporter protein,8,-0.06,-0.21,-0.27,-0.66
LOC408926,alpha-2-macroglobulin-like protein 1,"6, 8",0.27,0.22,0.41,0.3
LOC410093,geminin,6,-0.26,-0.22,-0.46,-0.25
LOC412221,proliferation-associated protein 2G4,"4, 6, 8",0.09,-0.37,-0.46,-0.45
LOC100578446,pituitary homeobox x,8,0.04,-0.18,-0.02,-1.03
LOC551556,probable serine/threonine-protein kinase DDB_G0283337,6,-0.6,-0.11,1.15,0.75
LOC552261,EF-hand domain-containing protein D2 homolog,8,-0.03,-0.21,-0.14,-0.81
LOC552244,probable pathogenesis-related protein CaO19.6200,6,0.12,0.28,0.45,0.35
LOC724118,mitochondrial fission regulator 2,8,-0.14,-0.31,-0.25,-0.49
LOC725669,DNA ligase 1,8,-0.27,-0.04,-0.23,-0.65
LOC408438,insulin receptor substrate 1-B,4,0.25,0.54,0.37,0.03
Syx1A,syntaxin 1A,8,0.12,0.37,0.29,0.41
LOC410597,SET and MYND domain-containing protein 5,6,-0.13,-0.35,-0.52,-0.18
LOC412788,scavenger receptor class B member 1,8,0.15,-0.35,-0.18,-0.8
LOC725589,centrosomal protein of 120 kDa,8,-0.08,-0.34,-0.15,-0.63
LOC410876,THUMP domain-containing protein 3,"6, 8",-0.17,-0.24,-0.45,-0.32
LOC726110,glutamate-rich WD repeat-containing protein 1,"4, 6, 8",-0.04,-0.33,-0.45,-0.36
LOC100577300,surfeit locus protein 6 homolog,8,-0.18,-0.2,-0.33,-0.47
LOC102653759,zinc finger CCHC domain-containing protein 4,8,-0.15,-0.25,-0.28,-0.51
LOC725570,tumor necrosis factor alpha-induced protein 8-like protein,8,0.13,0.26,0.32,0.47
LOC413462,cyclin-G-associated kinase,"4, 6, 8",0.04,0.29,0.48,0.38
LOC724275,uncharacterized LOC724275,8,0.29,-0.15,0.12,0.92
LOC727144,tether containing UBX domain for GLUT4,8,-0.22,-0.22,-0.31,-0.42
LOC552688,acyl-CoA:lysophosphatidylglycerol acyltransferase 1,"4, 6, 8",0.01,-0.36,-0.38,-0.46
LOC413613,B-cell receptor-associated protein 31,8,-0.01,-0.41,-0.2,-0.57
LOC725548,protein FAM151B,8,0.05,0.31,0.23,0.6
LOC100577394,uncharacterized LOC100577394,8,-0.02,-0.54,0.14,-0.76
LOC726148,hemicentin-1,8,0.1,0.07,0.24,0.78
LOC100577046,uncharacterized LOC100577046,6,-0.15,-0.19,-0.54,-0.3
LOC412694,uncharacterized LOC412694,8,0.08,0.2,0.26,0.64
LOC410883,charged multivesicular body protein 6,6,-0.21,-0.31,-0.49,-0.17
LOC551296,"UPF0160 protein MYG1, mitochondrial",6,-0.23,-0.25,-0.5,-0.21
LOC552094,transcriptional repressor p66-beta,4,0.17,0.48,0.3,0.23
LOC550811,protein timeless homolog,"6, 8",-0.18,-0.22,-0.41,-0.37
LOC724141,protein yippee-like 5,8,-0.05,0.31,0.32,0.61
LOC113219062,uncharacterized LOC113219062,8,-0.1,0.29,0.43,0.56
LOC100578783,uncharacterized LOC100578783,8,-0.13,-0.1,-0.4,-0.55
LOC410035,dorsal-ventral patterning protein Sog,6,0.14,0.5,0.64,-0.1
LOC724869,histone H2B,8,-0.01,0.32,0.29,0.57
LOC725329,UPF0489 protein C5orf22 homolog,8,0.03,0.32,0.28,0.54
LOC113218770,uncharacterized LOC113218770,6,0.15,0.25,0.54,0.23
LOC413101,histone acetyltransferase Tip60,4,0.24,0.41,0.22,0.3
LOC412626,MOB kinase activator-like 3,6,-0.15,-0.32,-0.47,-0.23
LOC107965212,uncharacterized LOC107965212,8,0.15,0.4,0.12,0.49
LOC412282,"leucine--tRNA ligase, cytoplasmic",8,0.01,-0.37,-0.26,-0.54
LOC552439,WD repeat-containing protein 3,8,-0.21,-0.18,-0.25,-0.53
LOC724280,UPF0545 protein C22orf39 homolog,6,-0.46,-0.13,-0.41,-0.17
LOC725378,nucleolar GTP-binding protein 2,8,-0.09,-0.3,-0.24,-0.54
LOC411366,UPF0047 protein YjbQ,8,0.21,-0.51,-0.18,-0.69
LOC100578380,tRNA (guanine-N(7)-)-methyltransferase,6,-0.29,-0.17,-0.47,-0.24
LOC412599,arfaptin-2,8,0.22,-0.38,-0.28,-0.71
LOC409673,DNA polymerase epsilon catalytic subunit A,8,-0.2,-0.25,-0.24,-0.48
LOC412748,ATP-binding cassette sub-family G member 1,8,0.16,0.09,0.42,0.49
LOC412937,probable elongator complex protein 2,"6, 8",-0.19,-0.31,-0.35,-0.3
LOC726874,"ribonuclease Z, mitochondrial",8,-0.04,-0.37,-0.32,-0.43
LOC100578723,protein RRNAD1,8,-0.16,-0.34,-0.3,-0.36
LOC727515,mitochondrial import inner membrane translocase subunit Tim29,6,-0.35,-0.15,-0.47,-0.19
Snf,U1 small nuclear ribonucleoprotein A,"6, 8",-0.15,-0.19,-0.43,-0.39
LOC409505,cysteine-rich hydrophobic domain-containing protein 2,8,0.19,-0.46,-0.15,-0.75
LOC411144,transcription initiation factor TFIID subunit 11,"6, 8",-0.25,-0.2,-0.4,-0.3
LOC551790,arf-GAP with dual PH domain-containing protein 1,8,0.08,-0.19,-0.3,-0.75
LOC552585,uncharacterized LOC552585,8,0.19,-0.45,-0.22,-0.66
LOC726481,inositol monophosphatase 2,8,-0.01,-0.21,0.03,-0.95
LOC726647,uncharacterized LOC726647,8,0.22,-0.44,-0.07,-0.86
LOC727174,nucleolar protein 11,8,-0.16,-0.25,-0.21,-0.54
LOC409409,serine/threonine-protein kinase dyf-5,8,0.2,0.18,0.31,0.46
LOC412454,tetratricopeptide repeat protein 37,8,-0.01,-0.32,-0.24,-0.58
LOC413721,uncharacterized LOC413721,8,0.24,-0.19,-0.31,-0.89
LOC408426,lysosomal thioesterase PPT2 homolog,"4, 6",-0.15,-0.47,-0.49,-0.03
LOC412722,protein singed,8,0.1,-0.4,-0.23,-0.62
LOC551356,nesprin-1,"4, 6, 8",0.12,0.35,0.36,0.32
LOC411026,WD repeat-containing protein 36,8,-0.08,-0.3,-0.27,-0.5
LOC409320,leucine carboxyl methyltransferase 1,8,0.18,-0.45,-0.17,-0.7
LOC414042,thioredoxin-related transmembrane protein 1,"6, 8",-0.06,-0.27,-0.36,-0.45
LOC725056,glyoxylate/hydroxypyruvate reductase A,"6, 8",-0.11,-0.3,-0.39,-0.34
LOC552642,DNA replication licensing factor Mcm3,8,-0.14,-0.13,-0.3,-0.57
Eyg,eyegone,8,0.03,0.24,0.2,0.67
Tert,telomerase reverse transcriptase,8,-0.06,-0.36,-0.03,-0.69
LOC726045,apoptosis-resistant E3 ubiquitin protein ligase 1,8,0.12,0.38,0.25,0.4
LOC725288,armadillo repeat-containing protein 3,8,-0.05,0.2,0.42,0.57
LOC725323,ATP-dependent DNA helicase DDX11,8,0.01,-0.33,-0.29,-0.53
LOC413194,myeloid differentiation primary response protein MyD88-A,8,-0.36,-0.21,-0.22,-0.35
LOC413675,nuclear pore complex protein Nup107,"6, 8",-0.05,-0.21,-0.34,-0.55
LOC409729,zinc finger protein 608,4,0,0.63,0.23,0.27
LOC727119,uncharacterized LOC727119,8,-0.08,-0.46,-0.01,-0.59
LOC726292,natterin-3,8,0.13,0.29,0.14,0.57
LOC724982,uncharacterized LOC724982,8,-0.15,-0.16,-0.29,-0.54
LOC413069,H(+)/Cl(-) exchange transporter 7,6,0.15,0.34,0.37,0.28
LOC113218608,uncharacterized LOC113218608,8,-0.1,-0.25,-0.18,-0.61
LOC551210,myosin-2 heavy chain,8,-0.06,-0.31,-0.28,-0.48
LOC411698,ethanolaminephosphotransferase 1,8,0.25,-0.47,-0.39,-0.52
LOC725409,7-methylguanosine phosphate-specific 5'-nucleotidase,6,-0.27,-0.27,-0.41,-0.18
LOC551973,cleavage and polyadenylation specificity factor subunit CG7185,"6, 8",-0.12,-0.23,-0.34,-0.44
LOC100577909,high mobility group protein I,"6, 8",-0.14,-0.15,-0.48,-0.36
LOC411917,NAD-dependent protein deacetylase sirtuin-1,"6, 8",0.18,0.24,0.42,0.29
LOC408722,sodium/potassium-transporting ATPase subunit beta-2,"4, 6",0.03,0.46,0.35,0.3
LOC412398,macoilin-1,8,0.23,-0.49,-0.05,-0.83
LOC100577517,uncharacterized LOC100577517,4,0.25,0.58,0.43,-0.12
LOC408329,uncharacterized LOC408329,8,-0.07,0.32,0.18,0.7
LOC411579,tRNA (cytosine(34)-C(5))-methyltransferase,8,-0.17,-0.19,-0.3,-0.47
LOC551835,CTP synthase,"6, 8",-0.08,-0.24,-0.36,-0.45
LOC411106,"3'(2'),5'-bisphosphate nucleotidase 1","4, 6, 8",-0.15,-0.28,-0.35,-0.34
LOC551839,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase","4, 6, 8",-0.12,-0.33,-0.4,-0.28
LOC551784,probable actin-related protein 2/3 complex subunit 2,"4, 6, 8",-0.08,-0.41,-0.32,-0.32
LOC411380,60S ribosomal protein L30,8,0,0.3,0.26,0.57
LOC409056,sodium-dependent phosphate transporter 2,8,0.14,0.25,0.22,0.51
LOC551531,ribosome biogenesis protein BOP1 homolog,8,0.04,-0.32,-0.19,-0.65
LOC410897,coiled-coil domain-containing protein 124,"6, 8",-0.09,-0.28,-0.35,-0.42
LOC552265,rho GTPase-activating protein 32,"6, 8",0.18,0.2,0.36,0.39
LOC413758,U3 small nucleolar RNA-associated protein 14 homolog A,8,-0.16,-0.22,-0.25,-0.5
LOC410255,RUN domain-containing protein 1,8,0.14,-0.34,-0.23,-0.7
LOC408294,protein FAM76A,"4, 8",-0.02,0.36,0.28,0.5
LOC411145,nischarin,8,-0.06,-0.32,-0.24,-0.51
LOC100576912,cyclic AMP response element-binding protein A,8,0.08,-0.27,-0.29,-0.64
LOC100578356,apoptotic protease-activating factor 1-like,8,0.29,-0.39,-0.25,-0.78
LOC100577393,epidermal growth factor receptor-like,8,0.15,0.22,0.19,0.56
LOC725925,prolyl 3-hydroxylase OGFOD1,4,-0.13,-0.47,-0.32,-0.2
LOC412741,manganese-transporting ATPase 13A1,8,0.12,-0.45,-0.14,-0.66
LOC100576862,speckle targeted PIP5K1A-regulated poly(A) polymerase,8,0.02,-0.4,-0.24,-0.49
LOC409450,guanine nucleotide-binding protein subunit beta-like protein,8,0,0.22,0.32,0.58
LOC413508,RNA-binding protein Rsf1,"6, 8",0.08,-0.32,-0.35,-0.53
LOC409060,golgin subfamily A member 6-like protein 22,8,0.15,0.25,0.32,0.4
Ip3k,"inositol 1,4,5-triphosphate kinase",6,0.24,0.26,0.4,0.23
LOC102656291,coiled-coil domain-containing protein 115,6,-0.29,-0.21,-0.41,-0.21
LOC412443,regulator of microtubule dynamics protein 1,6,-0.38,-0.12,-0.46,-0.16
5-HT1,serotonin receptor,8,0.06,0.37,0.08,0.61
LOC413252,ATP-binding cassette sub-family F member 2,8,0.12,-0.44,-0.19,-0.6
LOC551113,"delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial","6, 8",0.05,0.16,0.43,0.48
LOC551378,toll-like receptor Tollo,8,-0.1,-0.05,-0.34,-0.63
LOC726428,probable RNA-binding protein EIF1AD,6,-0.18,-0.27,-0.51,-0.15
LOC113219166,uncharacterized LOC113219166,4,-0.11,0.91,0.12,0.2
LOC113219102,sex determination protein fruitless-like,8,-0.22,-0.23,-0.26,-0.41
LOC552472,eukaryotic translation initiation factor 2-alpha kinase 1,8,-0.01,-0.14,-0.34,-0.62
LOC726053,EH domain-binding protein 1,8,-0.13,-0.19,-0.17,-0.62
LOC725061,uncharacterized LOC725061,8,-0.03,-0.38,-0.17,-0.53
LOC411882,ER membrane protein complex subunit 2-B,8,-0.25,-0.24,-0.25,-0.37
LOC413186,mitochondrial pyruvate carrier 3,8,0.14,-0.03,0.33,0.67
LOC413197,G protein-coupled receptor kinase 1,8,0.06,0.32,0.37,0.36
LOC726124,segmentation protein Runt,8,0.02,0.3,0.18,0.61
LOC100578826,protein strawberry notch-like,8,0.24,-0.36,-0.16,-0.83
LOC100576120,uncharacterized LOC100576120,6,-0.31,-0.23,-0.55,-0.03
LOC726496,protein lin-37 homolog,"6, 8",-0.15,-0.24,-0.36,-0.36
LOC551991,uncharacterized LOC551991,8,0.14,-0.42,0.22,1.16
Cry2,cryptochrome 2,6,0.22,0.38,0.61,-0.1
Nmdar1,NMDA receptor 1,8,0.09,0.2,0.35,0.47
LOC100578455,uncharacterized LOC100578455,8,-0.04,0.13,0.4,0.62
LOC409488,protein-L-isoaspartate(D-aspartate) O-methyltransferase,8,0.03,0.3,0.3,0.48
LOC100578031,BTB/POZ domain-containing protein 6-B,8,0.17,-0.42,-0.22,-0.64
LOC410188,60S ribosomal protein L8,8,0.02,0.32,0.3,0.47
LOC724909,uncharacterized LOC724909,8,0.1,0.27,0.22,0.51
LOC724620,inner nuclear membrane protein Man1,8,-0.03,-0.37,-0.26,-0.44
LOC102654919,26S proteasome non-ATPase regulatory subunit 5,"6, 8",-0.26,-0.18,-0.33,-0.34
LOC100577382,targeting protein for Xklp2 homolog,8,-0.14,-0.13,-0.34,-0.49
LOC552259,staphylococcal nuclease domain-containing protein 1,8,0.05,-0.29,-0.2,-0.66
LOC411510,DNA-directed RNA polymerases I and III subunit RPAC1,6,-0.18,-0.18,-0.47,-0.27
LOC102654312,KRR1 small subunit processome component homolog,6,-0.24,-0.24,-0.36,-0.26
LOC725495,homeobox protein GBX-2,8,0,0.26,0.13,0.71
LOC552791,MIP18 family protein galla-2,6,-0.3,-0.25,-0.41,-0.14
LOC413064,DNA replication licensing factor Mcm6,"6, 8",-0.09,-0.24,-0.39,-0.38
LOC410343,nuclear pore complex protein Nup93,6,-0,-0.27,-0.55,-0.28
LOC552446,collagen alpha-1(I) chain,8,0.2,0.27,-0.08,0.72
LOC552204,"beta-1,3-glucosyltransferase",8,-0.22,-0.31,-0.28,-0.29
LOC552590,transmembrane protein 120 homolog,8,-0.06,-0.26,-0.25,-0.53
LOC100578669,uncharacterized LOC100578669,8,0.16,0.36,0.15,0.42
LOC413987,polypeptide N-acetylgalactosaminyltransferase 5,8,-0.05,-0.27,-0.27,-0.51
LOC724237,prostaglandin E2 receptor EP3 subtype,8,0,0.37,0.21,0.52
